Province,District,Municipality
Province 1,Bhojpur,Aamchowk Rural Municipality
Province 1,Bhojpur,Hatuwagadhi Rural Municipality
Province 1,Bhojpur,Ramprasad Rai Rural Municipality
Province 1,Bhojpur,Pauwa Dunma Rural Municipality
Province 1,Bhojpur,Arun Rural Municipality
Province 1,Bhojpur,Bhojpur Municipality
Province 1,Bhojpur,Tyamke Maiyum Rural Municipality
Province 1,Bhojpur,Salpa Silichho Rural Municipality
Province 1,Bhojpur,Shadananda Municipality
Province 1,Dhankuta,Chaubise Rural Municipality
Province 1,Dhankuta,Sangurigadhi Rural Municipality
Province 1,Dhankuta,Khalsa Chhintang Sahidbhumi
Province 1,Dhankuta,Dhankuta Municipality
Province 1,Dhankuta,Chhathar Jorpati Rural Municipality
Province 1,Dhankuta,Pakhribas Municipality
Province 1,Ilam,Rong Rural Municipality
Province 1,Ilam,Suryodaya Municipality
Province 1,Ilam,Mai Municipality
Province 1,Ilam,Chulachuli Rural Municipality
Province 1,Ilam,Mangsebung Rural Municipality
Province 1,Ilam,Fakfokathum Rural Municipality
Province 1,Ilam,Deumai Municipality
Province 1,Ilam,Mai Jogmai Rural Municipality
Province 1,Ilam,Ilam Municipality
Province 1,Ilam,Sandakpur Rural Municipality
Province 1,Jhapa,Kachanakawal Rural Municipality
Province 1,Jhapa,Bhadrapur Municipality
Province 1,Jhapa,Haldibari Rural Municipality
Province 1,Jhapa,Birtamod Municipality
Province 1,Jhapa,Barhadashi Rural Municipality
Province 1,Jhapa,Jhapa Rural Municipality
Province 1,Jhapa,Gauriganj Rural Municipality
Province 1,Jhapa,Gauradaha Municipality
Province 1,Jhapa,Damak Municipality
Province 1,Jhapa,Kamal Rural Municipality
Province 1,Jhapa,Shivasatakshi Municipality
Province 1,Jhapa,Kankai Municipality
Province 1,Jhapa,Arjundhara Municipality
Province 1,Jhapa,Buddhashanti Rural Municipality
Province 1,Jhapa,Mechinagar Municipality
Province 1,Khotang,Baraha Pokhari Rural Municipality
Province 1,Khotang,Jante Dhunga Rural Municipality
Province 1,Khotang,Khotehang Rural Municipality
Province 1,Khotang,Diprung Rural Municipality
Province 1,Khotang,Sakela Rural Municipality
